epoch,acc,auc,fn,fp,loss,lr,tn,tp,val_acc,val_auc,val_fn,val_fp,val_loss,val_tn,val_tp
0,0.49960938,0.49727583,1207.0,1355.0,0.8142171946819872,0.001,1205.0,1353.0,0.5,0.53228235,0.0,1260.0,0.7085266619447678,0.0,1260.0
1,0.5048828,0.50875103,1149.0,1386.0,0.7155724012409337,0.001,1174.0,1411.0,0.52103174,0.51484287,281.0,926.0,0.7625585151097131,334.0,979.0
2,0.50332034,0.500382,1229.0,1314.0,0.722860766807571,0.001,1246.0,1331.0,0.5107143,0.48122573,280.0,953.0,0.7016421220605336,307.0,980.0
3,0.50878906,0.5038836,1155.0,1360.0,0.721728335134685,0.001,1200.0,1405.0,0.4952381,0.4610862,1060.0,212.0,0.7497765218454694,1048.0,200.0
4,0.5138672,0.5164711,1151.0,1338.0,0.7234271076740697,0.001,1222.0,1409.0,0.5373016,0.5484596,473.0,693.0,0.706448053320249,567.0,787.0
5,0.50742185,0.51302916,1232.0,1290.0,0.7296935949125327,0.001,1270.0,1328.0,0.49722221,0.5050308,679.0,588.0,0.6975418783369518,672.0,581.0
6,0.5089844,0.5043225,1148.0,1366.0,0.7175047681666911,0.001,1194.0,1412.0,0.5063492,0.51347345,959.0,285.0,0.6941369880759527,975.0,301.0
7,0.5119141,0.5158962,1089.0,1410.0,0.7088678897125646,0.001,1150.0,1471.0,0.51031744,0.5132168,64.0,1170.0,0.6950647729256797,90.0,1196.0
8,0.5083984,0.5060245,1237.0,1280.0,0.7185381406452507,0.001,1280.0,1323.0,0.48690477,0.4817448,740.0,553.0,0.710745150844256,707.0,520.0
9,0.5023438,0.5076487,1108.0,1440.0,0.7117468701908365,0.001,1120.0,1452.0,0.48968253,0.5028896,877.0,409.0,0.7136353628029899,851.0,383.0
10,0.49238282,0.49458283,1290.0,1309.0,0.7102013651747257,0.001,1251.0,1270.0,0.50595236,0.4705694,95.0,1150.0,1.637151686918168,110.0,1165.0
11,0.49179688,0.4881551,1313.0,1289.0,0.7171094758668914,0.001,1271.0,1247.0,0.48849207,0.48110068,1139.0,150.0,0.7049775894672151,1110.0,121.0
12,0.5126953,0.5095596,1325.0,1170.0,0.710361244622618,0.001,1390.0,1235.0,0.49920633,0.5139629,244.0,1018.0,0.6938585473431481,242.0,1016.0
13,0.5046875,0.5105234,1328.0,1208.0,0.7067758438643068,0.001,1352.0,1232.0,0.49722221,0.5132606,495.0,772.0,0.7291346797867427,488.0,765.0
14,0.4955078,0.5063945,1408.0,1175.0,0.7066556490026414,0.001,1385.0,1152.0,0.52420634,0.520514,375.0,824.0,0.8617169961096749,436.0,885.0
15,0.4988281,0.5023962,1352.0,1214.0,0.7030768104596063,0.001,1346.0,1208.0,0.50396824,0.51425266,1072.0,178.0,0.8005817735952044,1082.0,188.0
16,0.5115234,0.50537676,1367.0,1134.0,0.7049308567075059,0.001,1426.0,1193.0,0.52619046,0.52770215,936.0,258.0,0.6933534142989961,1002.0,324.0
17,0.5169922,0.52354246,1265.0,1208.0,0.7011585718719289,0.001,1352.0,1295.0,0.50476193,0.51913863,385.0,863.0,0.756966463866688,397.0,875.0
18,0.49804688,0.49358636,1300.0,1270.0,0.7106689354404807,0.001,1290.0,1260.0,0.50793654,0.50840104,687.0,553.0,0.692761360652863,707.0,573.0
0,0.5140625,0.5017642,1368.0,1120.0,0.7058969235513359,0.001,1440.0,1192.0,0.51785713,0.5226415,494.0,721.0,0.7220566111897665,539.0,766.0
1,0.51289064,0.5208573,1307.0,1187.0,0.7007337184040807,0.001,1373.0,1253.0,0.518254,0.5087084,241.0,973.0,0.699872213933203,287.0,1019.0
2,0.5058594,0.50982994,1256.0,1274.0,0.6996217786800116,0.001,1286.0,1304.0,0.4940476,0.49852484,349.0,926.0,0.6948590988204593,334.0,911.0
3,0.5080078,0.50639725,1065.0,1454.0,0.7006089618662372,0.001,1106.0,1495.0,0.53015876,0.56625444,83.0,1101.0,0.6872424346113962,159.0,1177.0
4,0.5158203,0.52703416,1249.0,1230.0,0.6986224330030382,0.001,1330.0,1311.0,0.50793654,0.51410776,489.0,751.0,0.7551117898925902,509.0,771.0
5,0.50507814,0.51017374,1244.0,1290.0,0.7003998612053692,0.001,1270.0,1316.0,0.49444443,0.4936527,536.0,738.0,0.6969476711182367,522.0,724.0
6,0.51660156,0.52437633,1168.0,1307.0,0.6973920663585886,0.001,1253.0,1392.0,0.50555557,0.51661533,867.0,379.0,0.7004517425620367,881.0,393.0
7,0.54589844,0.56018716,1166.0,1159.0,0.6902257818728685,0.001,1401.0,1394.0,0.5222222,0.5445808,466.0,738.0,0.6950913147320823,522.0,794.0
8,0.5222656,0.5245685,1195.0,1251.0,0.6963926574680954,0.001,1309.0,1365.0,0.518254,0.548093,947.0,267.0,0.6899429216744408,993.0,313.0
9,0.5292969,0.5441203,1283.0,1127.0,0.6925628393073566,0.001,1433.0,1277.0,0.5,0.5560119,1260.0,0.0,0.7127840892663078,1260.0,0.0
10,0.57363284,0.59494007,1433.0,750.0,0.6783719811355695,0.001,1810.0,1127.0,0.57738096,0.6149004,607.0,458.0,0.6679319658922771,802.0,653.0
11,0.5845703,0.6149793,1351.0,776.0,0.6717914096661843,0.001,1784.0,1209.0,0.61507934,0.6413115,604.0,366.0,0.6652618777893838,894.0,656.0
12,0.5900391,0.6230944,1305.0,794.0,0.6677726793568581,0.001,1766.0,1255.0,0.52420634,0.570456,1157.0,42.0,0.7325833586473314,1218.0,103.0
13,0.596875,0.6346762,1304.0,760.0,0.6640362062025815,0.001,1800.0,1256.0,0.5694444,0.6240945,465.0,620.0,0.6613934730726575,640.0,795.0
14,0.6111328,0.6479063,1263.0,728.0,0.6560963491210714,0.001,1832.0,1297.0,0.53571427,0.59744644,1158.0,12.0,0.7032862828364448,1248.0,102.0
